project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
SQLancer,Automatically testing database systems,"SQLancer is an automated testing tool that finds logic bugs in database systems (rather than in the databases themselves). Logic bugs are bugs that cause a database system to compute an incorrect result for a given query and a database on which the query is executed. To that end, SQLancer semi-randomly generates databases and queries, whose results are then automatically validated. SQLancer has found hundreds of bugs in database systems such as SQLite, MySQL, DuckDB, CockroachDB, and TiDB.",https://github.com/sqlancer/sqlancer/wiki/GSoC-2025-Ideas,"java, sql","fuzzing, Automated Testing, Logic bugs, Database systems",https://github.com/sqlancer/sqlancer/wiki/GSoC-2025-Ideas#contributor-guidance,https://summerofcode.withgoogle.com/programs/2023/organizations/sqlancer
XWiki,The Advanced Open Source Enterprise Wiki,"XWiki is an open source software development platform based on the wiki principles, under the LGPL license. In addition to being a full-featured wiki, it is also a second generation wiki allowing effortless development of collaborative web applications. On top of this platform a plethora of applications are developed, targeted mainly on aiding enterprise-level needs. XWiki has a vibrant community of developers and users, consisting of individual users as well as organizations around the world that are using XWiki for their own Communities or Intranets. Within XWiki, the development involves several levels: server-side platform programming in Java with Servlet technologies, server-side application development in Velocity, Groovy, and client-side development in JavaScript, CSS and HTML. We propose projects that cover server-side Servlet programming and client-side rich application development, together with usability and performance improvements.",https://dev.xwiki.org/xwiki/bin/view/GoogleSummerOfCode,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data",https://dev.xwiki.org/xwiki/bin/view/GoogleSummerOfCode/Guidelines,https://summerofcode.withgoogle.com/programs/2023/organizations/xwiki
"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,"Biomedical Informatics is a multidisciplinary field that is motivated by our desire to improve diagnosis, clinical care, and human health, through novel computational approaches to use (and learn from) biomedical and clinical data. We use our expertise in computer science and informatics by developing various enabling tools, technologies, and algorithms to solve specific biomedical and clinical applications. And in doing so help advance our understanding of disease and treatment, and also develop useful software and applications. Members of the department work in a variety of areas that range from machine learning, healthcare middleware that leverages cloud computing, clinical information systems, clinically oriented image analysis, and biomedical knowledge modeling. The driving applications for the various ongoing projects include cancer research, organ transplant, HIV, medical imaging, radiation therapy, and clinical data analytics. All development work that is undertaken is free and open-source. We have had a diverse set of successful GSoC projects in the past. In previous years, GSoC contributors have worked on diverse projects such as: geospatial systems for exploring microscopy environments that leveraged Hadoop; GPU accelerated pipelines for computational analysis of digitized biopsies; interactive visualization platforms for viewing massive images (>1GB); systems for data agnostic sharing of biomedical research datasets; Apache Drill based data integration and de-duplication platform for SQL and NoSQL databases; CNN based high throughput analysis of digitized biopsies; A GUI for Tensorflow; integrated architectures for biomedical data integration and federation; and information visualization of heterogeneous medical data. Many of these projects have been published in reputable journals and presented at major conferences. Some of the projects proved to be so successful that they were adopted in major national/international biomedical research initiatives.",https://github.com/NISYSLAB/Emory-BMI-GSoC/?tab=readme-ov-file#list-of-ideas,"python, javascript, java, bash, Colab","cloud, data integration, workflows, data security, ML/AL",https://github.com/NISYSLAB/Emory-BMI-GSoC/blob/main/CONTRIBUTOR-GUIDANCE.md,https://summerofcode.withgoogle.com/programs/2023/organizations/department-of-biomedical-informatics-emory-university
CircuitVerse.org,Build and learn logic circuits in the cloud!,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to create, share and learn digital circuits. It can run on almost any device without the need for installing any software. The platform has been designed for use by students, professionals and hobbyists alike. The vision is to develop a community around the platform that will aid students to self-learn digital logic design. The platform is currently used by several universities worldwide. Apart from the simulator, users can create, learn, collaborate and share their work. Teachers can create groups and host assignments on the platform. The platform’s impact has been more evident than ever in the Covid 19 pandemic as CircuitVerse enabled schools and colleges to move their courses online.",https://github.com/CircuitVerse/CircuitVerse/wiki/GSoC'25-Project-List,"javascript, rails, canvas, vue","education, web, simulation, pedagogy, digital logic design",https://docs.google.com/document/d/1oeYPAuqWxeC79d-R5I9uFJywQJv4ooO4obF4pwifyTY/edit,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Despite its name, LLVM has little to do with traditional virtual machines. The name ""LLVM"" itself is not an acronym; it is the full name of the project. LLVM began as a research project at the University of Illinois, with the goal of providing a modern, SSA-based compilation strategy capable of supporting both static and dynamic compilation of arbitrary programming languages. Since then, LLVM has grown to be an umbrella project consisting of a number of subprojects, many of which are being used in production by a wide variety of commercial and open source projects as well as being widely used in academic research. In addition to official subprojects of LLVM, there are a broad variety of other projects that use components of LLVM for various tasks. Through these external projects you can use LLVM to compile Ruby, Python, Haskell, Rust, D, PHP, Pure, Lua, Julia, and a number of other languages. A major strength of LLVM is its versatility, flexibility, and reusability, which is why it is being used for such a wide variety of different tasks: everything from doing light-weight JIT compiles of embedded languages like Lua to compiling Fortran code for massive super computers.",https://llvm.org/OpenProjects.html,"llvm, c++, clang, mlir","compilers, development tools, libraries",https://discourse.llvm.org/t/gsoc-2022-projects-proposals-and-other-information/60386,https://summerofcode.withgoogle.com/programs/2023/organizations/llvm-compiler-infrastructure
Chromium,"Fast, seamless, safe, and reliable web for all","The Chromium projects include Chromium and Chromium OS, the open-source projects behind the Google Chrome browser and Google Chrome OS, respectively. Chromium is an open-source browser project that aims to build a safer, faster, and more stable way for all users to experience the web. Chromium OS is an open-source project that aims to provide a fast, simple, and more secure computing experience for people who spend most of their time on the web.",https://docs.google.com/presentation/d/1ozDiULkf2Gi4HH1XA_Ad9O7rQpP9SP0yPEs_dpcBZKM/edit?usp=sharing,"python, javascript, java, c++, git","web, browser, operating-system",https://docs.google.com/document/d/1IOj4hSdPl8h1-8zYK_Gt3OxA0R44SLbmr-ZH3f9yDXM/edit?usp=sharing,https://summerofcode.withgoogle.com/programs/2023/organizations/chromium-lj
MuseScore,The World’s Most Popular Music Notation Software,"MuseScore's main purpose is the creation of high-quality engraved musical scores in a ""What-You-See-Is-What-You-Get"" environment. It supports unlimited staves, linked parts and part extraction, tablature, MIDI input and output, percussion notation, cross-staff beaming, automatic transposition, lyrics (multiple verses), fretboard diagrams, and in general everything commonly used in sheet music. Style options to change the appearance and layout are available and style sheets can be saved and applied to other scores. In January 2020, MuseScore introduced a unique engraving and notation style built by its full time designer, Martin Keary and engraver Simon Smith. MuseScore can play back scores through a sequencer and SoundFont sample library. Playback is currently being greatly expanded to include VST support. MIDI output to external devices and software synthesisers is also possible. The team organise themselves according to a general roadmap published by the product owner every six months, which sets out provisional goals for the internal team. This allows the extended developer community to comment on the roadmap and potentially offer to take ownership over aspects of it. This also allows other contributors to have visibility on aspects of the codebase that may change over the next 6-12 months. In combination with our community organiser, tasks are drawn up and published to provide a well organised collaboration focused on a specific upcoming release. All members provide bug tracking support and feedback.",https://github.com/musescore/MuseScore/wiki/Project-ideas-for-GSoC,"c++, qt, qml, cmake","music, midi, musicxml, sheet music, music notation",https://github.com/musescore/MuseScore/wiki/GSoC-with-MuseScore,https://summerofcode.withgoogle.com/programs/2023/organizations/musescore
Python Software Foundation,A programming language used for science & more,"Python is a programming language that lets you work more quickly and integrate your systems more effectively. The Python Software Foundation serves as an umbrella organization to a variety of Python-related projects, as well as sponsoring projects related to the development of the Python language. You can view a full list of participating sub-orgs here: https://python-gsoc.org/ideas.html Sub-orgs: - Borg Collective - backup tools - CVE Binary Tool - scanning for known security vulnerabilities - DIPY - 3d/4d+ imaging - Fury - scientific visualization tools - LPython - ahead of time compiler for python - MNE-Python - tools for human neurophysiological data - Mission Support System - atmospheric science tools for flight planning - PyData/Sparse - n-dimensional sparse arrays for pyData - PyElastica - simulation and modeling for slender structures",https://python-gsoc.org/ideas.html,"python, javascript","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/index.html#gettingstarted,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation
The Linux Foundation,Non-profit consortium fostering growth of Linux,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Founded in 2007 as a merger of the former Free Standards Group (FSG) and the former Open Source Developer Lab (OSDL), the LF sponsors the work of Linux creator Linus Torvalds and is supported by leading Linux and open source companies and developers from around the world. The Linux Foundation promotes, protects and standardizes Linux by providing unified resources and services needed for open source to successfully compete with closed platforms. For more see our [About page](https://www.linuxfoundation.org/about/). All software produced by us is free software published under OSI-approved licenses. See project ideas page for the license used by each project.",https://wiki.linuxfoundation.org/gsoc/google-summer-code-2025,"c, linux, cups, ai, fuzz-testing","kernel, automotive, printing, iio, zephyr",https://wiki.linuxfoundation.org/gsoc/google-summer-code-2025,https://summerofcode.withgoogle.com/programs/2023/organizations/the-linux-foundation
CGAL Project,C++ library of computational geometry,"CGAL is a software library that offers a number of reliable geometric data structures and algorithms. CGAL components operate in 2D and 3D, and sometime in arbitrary dimensions. Examples of components include convex hulls, convex decomposition, Delaunay triangulations, Voronoi diagrams, polygonal surface mesh data-structures, mesh generation, Boolean operations, envelope computations, intersection detection, surface reconstruction, and subdivision surfaces. CGAL is used in a variety of application domains such as CAD/CAM (computer aided design and modeling), GIS (geographic information systems), geophysics, image processing, molecular biology, robotics, motion planning, and graphics. CGAL is written in C++ and rigorously adheres to the generic-programming paradigm. CGAL became an Open Source project in 2003. Most of CGAL is under the GPL v3+ license, and some core parts are under the LGPL v3+. The semi-annual releases have currently about 10,000 downloads. CGAL is commercially supported by the spin-off company GeometryFactory.",https://github.com/CGAL/cgal/wiki/Project-Ideas,"c++, qt","geometry, mesh processing, computation geometry, geometry processing",https://github.com/CGAL/cgal/wiki/Project-Ideas#information-candidates-should-supply,https://summerofcode.withgoogle.com/programs/2023/organizations/cgal-project
Apertium,A free/open-source machine translation platform,"Apertium is a free/open-source machine translation platform, and the organisation focuses on primarily symbolic language technology for less-resourced languages.",https://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",https://wiki.apertium.org/wiki/Top_tips_for_GSOC_applications,https://summerofcode.withgoogle.com/programs/2023/organizations/apertium
gprMax,Simulating electromagnetic wave propagation,"gprMax is open source software that simulates electromagnetic wave propagation. It uses Yee's algorithm to solve Maxwell’s equations in 3D using the Finite-Difference Time-Domain (FDTD) method. It is designed for simulating Ground Penetrating Radar (GPR) and is used to model electromagnetic wave propagation in fields such as engineering, geophysics, archaeology, and medicine. There are a wide range of applications from assessing infrastructure such as bridges and roads, locating buried utilities, mapping glaciers, finding anti-personnel landmines, to detecting tumours in the human body, and exploring the sub-surface of Mars and the Moon. gprMax is command-line-driven software written in Python with performance-critical parts written in Cython. It does not currently feature a graphical user interface (GUI) which allows it to be very flexible and scriptable software that can run in high-performance computing (HPC) environments, i.e. on supercomputers. gprMax can be run on either CPU or GPU. The CPU solver has been parallelised using OpenMP which enables it to run on multi-core CPUs. The GPU solver has been developed using the NVIDIA CUDA programming model. gprMax also features a Messaging Passing Interface (MPI) task farm, which can operate with CPU nodes or multiple GPUs.",https://github.com/gprMax/GSoC/blob/main/project-ideas-2025.md,"python, cuda, openmp, mpi, opencl","science, engineering, geophysics, electromagnetics, ground penetrating radar",https://github.com/gprMax/GSoC/blob/main/project-template.md,https://summerofcode.withgoogle.com/programs/2023/organizations/gprmax
Machine Learning for Science (ML4SCI),Machine learning applications in science,"Machine Learning for Science (ML4SCI) is an umbrella organization for machine learning-related projects in science. ML4SCI brings together researchers from universities and scientific laboratories with motivated students to join existing scientific collaborations and contribute to cutting edge science projects across a wide variety of disciplines. Students work on existing problems to develop new machine learning-based approaches and produce open source code that directly contributes to solving these scientific challenges. ML4SCI currently includes projects from a variety of fields. For example, some of them explore the uses of machine learning for particle reconstruction and classification in high-energy physics, deep learning-based searches for dark matter in astrophysics, applications of machine learning techniques to data returned from planetary science missions, applications of quantum machine learning to science, and others. Machine learning ideas and approaches can be broadly applicable and transferable across the scientific domains. The goals of ML4SCI projects are to grow the open-source community in machine learning for science by addressing important scientific challenges and transferring the knowledge and tools of machine learning across the disciplines. We look forward to your applications!",https://ml4sci.org/,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",,https://summerofcode.withgoogle.com/programs/2023/organizations/machine-learning-for-science-ml4sci
Kotlin Foundation,Advance the Kotlin programming language,"Kotlin is a concise, modern, and versatile programming language designed for multiple platforms. The Kotlin Foundation, established by JetBrains and Google, later welcomed Uber, Gradle, Touchlab, and Kotzilla. Together, we promote and advance Kotlin across multiple platforms, including Android, iOS, web, desktop, and server-side. Currently, 100+ engineers from JetBrains and Google contribute to the core Kotlin project, alongside 350+ independent contributors and thousands more supporting the broader Kotlin ecosystem. The Kotlin Foundation is committed to protecting, promoting, and advancing the evolution of the Kotlin language.",https://kotlinlang.org/docs/gsoc-2025.html,"gradle, kotlin, jvm, Parsers & Compilers, Multiplatform","compilers, programming languages, software development, libraries, Programming & Build Tools",https://kotlinlang.org/docs/gsoc-overview.html,https://summerofcode.withgoogle.com/programs/2023/organizations/kotlin-foundation
The Palisadoes Foundation,Social media and member management for non-profits,"The Palisadoes Foundation’s open-source software projects support community groups in organizing their daily activities. A significant proportion of our software contributions come from university students studying software engineering. Participants often come from under-served communities or geographic areas and are sponsored through our various programs. This prepares them for the competitive realities of the working world. Life started for us in 2016 when a group of expatriate Jamaicans wanted to assist development of new and existing information technologies for the island’s social good. We knew academic and student leadership wanted greater practical exposure to the latest technology. In response, our pilot Calico program for Jamaican universities was created with the goal of addressing the issues graduates would face when employed. After five years of success, members of the Jamaican diaspora suggested we expand our service area to be global. They saw similar needs in their own under-served communities where the digital divide is very visible and thought our experience in the developing world would be useful. Since 2019 we have focused on creating a mobile app to help community organizations like ourselves better manage their membership. We saw the need for a social media component to keep in contact with our volunteers. We also felt these organizations often faced challenges with the project management of events and keeping track of volunteer abilities, roles and responsibilities. We want to make the app useful for any community-based organization such as clubs, small religious institutions, neighborhood groups, and volunteer associations. We also want to see how the open source software could be installed as a multi-tenant, multi-site cloud hosted service as many of these organizations often don’t have sufficient IT skills to do so independently. We hope that our contributors will help us achieve this goal.",https://developer.palisadoes.org/docs/internships/gsoc/gsoc-ideas,"python, postgresql, flutter, graphql, typescript","web, api, networking, ai, mobile",https://developer.palisadoes.org/docs/internships/gsoc/gsoc-introduction,https://summerofcode.withgoogle.com/programs/2023/organizations/the-palisadoes-foundation
BRL-CAD,3D CAD & other computer-aided tech (CAx),"This is the place to be if you love computer graphics. We do 2D/3D modeling, 3D printing, solid geometry, design, and more. Depending on the project, you have the opportunity to work with C/C++, Python, OpenGL, OpenCL, Qt, Javascript, and more... Help us develop open source computer-aided technologies (CAx)!

We operates as an umbrella organization with several CAx communities including:

- OpenSCAD is a solid 3D modeler with a rich syntax for programmable geometry.
- LibreCAD is a 2D modeling system specializing in blueprint-style drawings and draftings.
- IfcOpenShell is a library for working with standard IFC building model data.
- BRL-CAD is a solid modeling suite with conversion and advanced solid ray tracing features.
- Manifold is a solid geometry mesh processing library.

We want to select at least one student for each, so feel free to ask us where to start.",https://github.com/opencax/GSoC/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2025%22,"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, deep neural net rendering",https://opencax.github.io/gsoc_checklist.html,https://summerofcode.withgoogle.com/programs/2023/organizations/brl-cad
Cockpit Project,Cockpit is an interactive server admin interface,"Cockpit is an interactive server admin interface. It is easy to use and very lightweight. Cockpit interacts directly with the operating system from a real Linux session in a browser. Cockpit makes Linux discoverable, allowing sysadmins to easily perform tasks such as starting containers, storage administration, network configuration, inspecting logs and so on. Jumping between the terminal and the web tool is no problem. A service started via Cockpit can be stopped via the terminal. Likewise, if an error occurs in the terminal, it can be seen in the Cockpit journal interface. You can also easily add other machines that have Cockpit installed and are accessible via SSH and jump between these hosts. Read more about cockpit in https://cockpit-project.org.",https://github.com/cockpit-project/cockpit/wiki/GSoC-2023-topics,"python, javascript, react","operating systems, web, linux",https://github.com/cockpit-project/cockpit/wiki/GSoC-2023-topics,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project
GNU Octave,Free Your Numbers,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable. Octave is continually being upgraded. Student projects may also involve developing or upgrading Octave Forge packages, which can be loaded to provide additional specialized functions that supplement those provided in Core Octave.",https://wiki.octave.org/Summer_of_Code_-_Getting_Started#Suggested_projects,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://wiki.octave.org/Summer_of_Code_-_Getting_Started,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-octave
