project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
OpenMRS,"Write Code, Save Lives.","OpenMRS provides the foundational, electronic medical record technology for more than 6,500 health facilities in over 80 countries, touching and helping millions of patients throughout the world. The OpenMRS Community’s mission is to improve healthcare delivery in resource-constrained environments. We coordinate a global community that creates and sustains a robust, scalable, user-driven and open-source medical record platform and reference frontend application. We maintain a platform that countries and implementers use to create a customized EMR system in response to actual needs on the ground.",https://openmrs.atlassian.net/wiki/spaces/RES/pages/322404353/Summer+of+Code+2025,"mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://wiki.openmrs.org/display/RES/GSoC+-+Proposal+Guidelines,https://summerofcode.withgoogle.com/programs/2024/organizations/openmrs
GNU Octave,Free Your Numbers,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable. Octave is continually being upgraded. Student projects may also involve developing or upgrading Octave Forge packages, which can be loaded to provide additional specialized functions that supplement those provided in Core Octave.",https://wiki.octave.org/Summer_of_Code_-_Getting_Started#Suggested_projects,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://wiki.octave.org/Summer_of_Code_-_Getting_Started,https://summerofcode.withgoogle.com/programs/2024/organizations/gnu-octave
CNCF,Building sustainable ecosystems for cloud native,"Cloud Native Computing Foundation (CNCF) serves as the vendor-neutral home for many of the fastest-growing open source projects, including Kubernetes, Prometheus, and Envoy.",https://github.com/cncf/mentoring/blob/main/programs/summerofcode/2025.md,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://github.com/cncf/mentoring,https://summerofcode.withgoogle.com/programs/2024/organizations/cncf
Purr Data,Realtime Audio/Visual Programming Environment,"Purr Data is a visual programming language with an emphasis on generating sound, video, 2D/3D graphics, and connecting through sensors, input devices, and MIDI as well as OSC devices. It has an HTML5 frontend. It also has realtime DSP backend written in C which can run natively or in the browser. Purr Data has a special emphasis on generating audio and/or video in real time, with low latency. Much of its design focuses on receiving, manipulating, and delivering high-quality audio signals. Specifically, the software addresses the problem of how to do this efficiently and reliably on general purpose operating systems like macOS, Windows, Debian, etc.-- i.e., systems designed mainly for multi-tasking. Purr Data can easily work over local and remote networks. It can be used to integrate wearable technology, motor systems, lighting rigs, and other equipment. Purr Data is also suitable for learning basic multimedia processing and visual programming methods, as well as for realizing complex systems for large-scale projects.",https://git.purrdata.net/jwilkes/summer-of-code-ideas-list,"c, javascript, html5, Emscripten","web, graphics, audio, realtime",https://git.purrdata.net/jwilkes/summer-of-code-ideas-list/-/blob/master/student_app.md,https://summerofcode.withgoogle.com/programs/2024/organizations/purr-data
OpenWISP,The Hackable Network Management System,"OpenWISP is an open source network management system which runs on low cost hardware and can be used to manage networks: from public wifi, university wifi, to mesh networks and IoT.",https://openwisp.io/docs/dev/developer/gsoc-ideas-2025.html,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.io/docs/developer/contributing.html,https://summerofcode.withgoogle.com/programs/2024/organizations/openwisp
Red Hen Lab,Research on Multimodal Communication,"Red Hen Lab is an international distributed cooperative of researchers in multimodal communication. We are senior professors at major research universities, senior developers in technology corporations. We also include junior professors, postdoctoral students, graduate students, undergraduate students, and even a few advanced high school students. Red Hen works in AI, Natural Language Processing, ASR, audio parsing, gesture analysis, media analysis, computer vision, and multimodal analysis. Red Hen's multimodal communication research involves locating, identifying, and characterizing auditory and visual elements in videos and pictures. We may provide annotated clips or images and present the challenge of developing the machine learning tools to find additional instances in a much larger dataset. Some examples are gestures, eye movements, and tone of voice. We favor projects that combine more than one modality, but have a clear communicative function—an example would be floor-holding techniques. Once a feature has been successfully identified in our full dataset of several hundred thousand hours of news videos, cognitive linguists, communication scholars, and political scientists can use this information to study higher-level phenomena in language, culture, and politics and develop a better understanding of the full spectrum of human communication. Our dataset is recorded in a large number of languages, giving Red Hen a global perspective. See our Ideas Page for GSoC2024. Red Hen Lab is directed jointly by Francis Steen (UCLA) and Mark Turner (Case Western Reserve University).",https://www.redhenlab.org/summer-of-code/red-hen-lab-gsoc-2025-ideas,"python, machine learning, nlp, ai, data science","data science, ai, language, multimodal communication, gesture",https://www.redhenlab.org/summer-of-code/red-hen-lab-gsoc-2025-ideas,https://summerofcode.withgoogle.com/programs/2024/organizations/red-hen-lab
sktime,A unified framework for ML with time series,"sktime provides an easy-to-use, flexible and modular open-source framework for a wide range of time series machine learning tasks. It offers scikit-learn compatible interfaces and model composition tools, with the goal to make the ecosystem more usable and interoperable as a whole. We build and sustain an open, diverse and self-governing community, welcoming new contributors from academia and industry through instructive documentation, mentoring and workshops.",https://github.com/sktime/mentoring/blob/main/internships/projects_2025.md,"python, github, sphinx, scikit-learn","data science, ai, time series, toolbox frameworks, AI/ML",https://www.sktime.net/en/stable/get_involved.html,https://summerofcode.withgoogle.com/programs/2024/organizations/sktime
API Dash,Next-gen Open Source AI powered API DevTool,"API Dash is a beautiful open-source cross-platform (macOS, Windows, Linux, Android & iOS) API Client built using Flutter & powered by AI which can help you easily create & customize your HTTP & GraphQL API requests, visually inspect responses and generate API integration code.",https://github.com/foss42/apidash/discussions/565,"flutter, api, ai, dart, ui/ux","testing, api, developer tools, automation, GenAI",https://github.com/foss42/apidash/discussions/564,https://summerofcode.withgoogle.com/programs/2024/organizations/api-dash
"Unicode, Inc.",Bringing internationalization to software!,"The Unicode Consortium is the non-profit open source, open standards body for the internationalization of software and services. Deployed on more than 20 billion devices around the world, Unicode also provides the solution for internationalization and the architecture to support localization.",https://docs.google.com/document/u/2/d/e/2PACX-1vQbj0-VFkRjYdnivuPPXuHM3IW4LuHxK6E0LVO3O8ZU_-k8CYH_eFMZ_IwFg_r-oBw3FCEOmHCb5jrn/pub,"java, c++, rust, unicode","compilers, linguistics, languages, internationalization",https://docs.google.com/document/d/e/2PACX-1vQwQhjcjYENWYTfA4_FEsyVPZzqhp-QAyeVfPcYR9x0RFqL4mhby1hWKatjiG6Itwkuz8Q4ZXSF_IZz/pub,https://summerofcode.withgoogle.com/programs/2024/organizations/unicode-inc
eunomia-bpf,Unleash eBPF Potential with our tools and runtimes,"Eunomia Lab is an innovative open-source organization dedicated to advancing the eBPF ecosystem. Our mission is to create and improve toolchains and runtimes that enhance the functionality and efficiency of eBPF, a revolutionary technology for running sandboxed programs within the Linux kernel without changing kernel source code or loading kernel modules. Our projects include: - bpftime: A userspace eBPF runtime. It offers rapid uprobe 10x faster than kernel uprobes, and syscall hook capabilities. It's compatible with kernel eBPF and existing eBPF toolchains, and can be injected into any running process without restart or manual recompilation. It can work with kernel eBPF or the eBPF runtime in other userspace processes. - Wasm-bpf: Cooprated with WaseEdge, we build the first user-space development library, toolchain, and runtime for general eBPF programs based on WebAssembly, allows lightweight Wasm sandboxes to deploy and control eBPF applications in k8s clusters. - GPTtrace: The first tool generates eBPF programs and traces the Linux kernel through natural language. With our AI agents, it can produce correct eBPF programs on 80%, while a baseline of GPT-4 is 30%. - eunomia-bpf: A tool to help developers build, distribute and run eBPF programs easier with JSON and WebAssembly OCI images Our commitment extends beyond tool development to education. We offer extensive resources for those looking to master eBPF, from beginners to advanced users. To discover more about our projects and educational materials, visit us at eunomia.dev.",https://eunomia.dev/others/ideas/,"linux, llvm, ebpf, webassembly","cloud, OS, runtime",https://eunomia.dev/others/contribute/,https://summerofcode.withgoogle.com/programs/2024/organizations/eunomia-bpf
Nightwatch.js,An integrated testing framework powered by Node.js,"Nightwatch.js is an integrated testing framework powered by Node.js and using the W3C Webdriver API. It provides a complete testing solution and can be used for a wide range of testing needs, including: * End-to-end testing of web applications and websites, on both desktop and mobile devices. * Component testing in isolation (React / Vue / Storybook / Angular). * Unit testing, Visual Regression testing, Accessibility testing, and API testing. * Native mobile app testing on Android & iOS.",https://github.com/nightwatchjs/mentorship/blob/main/google-summer-of-code/GSoC-2024-Ideas.md,"javascript, selenium, node.js, typescript, WebDriver","unit testing, Functional Testing, End-To-End Testing, Component testing, Native mobile app testing",https://github.com/nightwatchjs/mentorship/blob/main/google-summer-of-code/GSoC-contributor-guidance.md,https://summerofcode.withgoogle.com/programs/2024/organizations/nightwatchjs
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"The FOSSi (Free and Open Source Silicon) Foundation is a not-for-profit organization with the support the growing community of open source silicon hardware. We do this with a variety of activities and through Google Summer of Code we bring together enthusiastic mentees and outstanding projects. Under our umbrella are open source silicon hardware projects, operating systems and compilers for such projects, tools for electronic design automation and the related ecosystem.",https://fossi-foundation.org/gsoc/gsoc25-ideas,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org/gsoc,https://summerofcode.withgoogle.com/programs/2024/organizations/free-and-open-source-silicon-foundation
OpenAstronomy,Look at the Universe with the power of Open Source,"OpenAstronomy is a collaboration between open source astronomy, astrophysics & heliophysics projects that are used by researchers and software engineers around the world to study our universe either by analysing the data obtained from amazing instruments like the [James Webb Space telescope](https://jwst.nasa.gov/), the [Square Kilometer Array](https://www.skatelescope.org/) or the [Solar Dynamic Observatory](http://sdo.gsfc.nasa.gov/), developing very sophisticated numerical models (eg., [FLASH](http://flash.uchicago.edu/)) or designing interplanetary trajectories for human-made spacecraft. The analysis of such data helps multiple types of research, from being able to forecast solar storms to detecting planets in other stars, to understanding how galaxies are formed to explain the expansion and the origin of the universe. OpenAstronomy currently consists of [18 projects](https://openastronomy.org/members/) that develop tools, the range of which is wide. For example: - [Astropy](https://www.astropy.org/) is a general Python library for astronomy, providing common tools such as celestial coordinates, image processing, tabular data, reading and writing, units and support for astronomy-specific file formats; - [SunPy](https://sunpy.org/) provides utilities for obtaining and representing solar physics data, with access to the largest online solar physics data archives and solar specific analysis tools and visualisation code; - [Julia Astro](https://juliaastro.org/dev/index.html) is a set of packages for general astronomy and astrophysics analysis using Julia; - And more! As a single organisation, we strive to strengthen collaborations between each sub-organisation, and at the same time increase the awareness among our users on the capabilities of our ""sister"" projects. With the goal being unification of standards and libraries to enable true multidisciplinary research.",https://openastronomy.org/gsoc/gsoc2025/#/projects,"c, python, c++, julia","image processing, astronomy, data analysis, solar physics, high energy astrophysics",https://openastronomy.org/gsoc/student_guidelines.html,https://summerofcode.withgoogle.com/programs/2024/organizations/openastronomy
Rizin,Rizin reverse engineering framework and toolset,"The Rizin project is a fork of the famous Radare2 project that started in 2006. Since then the codebase has been rewritten multiple times, modularized and extended to support many new features. The Rizin project aims to provide stability, focus on the most important features, and provide a user friendly interface. Along with Cutter - a Qt-based GUI and the RzGhidra decompiler it makes the effective tool for everyday reversing tasks. Rizin is composed of a hexadecimal editor at its core, with support for several architectures and binary formats. It features code analysis capabilities, scripting, data and code visualization through graphs and other means, a visual mode, easy UNIX integration, a binary diffing engine for code and data, a shellcode compiler, multi-platform debug with reverse debug capabilities and much, much more!",https://rizin.re/gsoc/2025/,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re/gsoc/2024,https://summerofcode.withgoogle.com/programs/2024/organizations/rizin
IOOS,"Our eyes on the ocean, coasts, and Great Lakes","IOOS is our eyes on the ocean, coasts, and Great Lakes. We are an integrated network of people and technology gathering observing data and developing tracking and predictive tools to benefit the economy, the environment, and public safety at home, across the nation, and around the globe.",https://github.com/ioos/gsoc/blob/main/2025/ideas-list.md,"python, java, r, Zarr, NetCDF","open data, open science, data management, Oceanography, Marine Biodiversity",https://github.com/ioos/gsoc/blob/main/contributor-guidance.md,https://summerofcode.withgoogle.com/programs/2024/organizations/ioos
FOSSology,Open Source License Compliance by OSS,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://fossology.github.io/gsoc/docs/2025/GSoC-projects,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",,https://summerofcode.withgoogle.com/programs/2024/organizations/fossology
Keploy,"Unit, API test generation agent using AI & EBPF","An open-source simple e2e and unit test generation toolkit for developers. Keploy creates test cases, data mocks, stubs from API calls, DB queries, etc. TestGPT that actually works!",https://github.com/keploy/gsoc/tree/main/2025,"python, golang, node, ai, MERN","AI/ML, API Testing, Dev Tool, Functional Testing, AI Testing Agent",https://github.com/keploy/keploy/blob/main/CONTRIBUTING.md,https://summerofcode.withgoogle.com/programs/2024/organizations/keploy
MetaCall,Simplifying the embedding of programming languages,"When working with different technologies and developers of different programming languages, the productivity of the entire team worsens due to the lack of interoperability and communication between them. If the developers need two technologies which are written in different programming languages, for instance, a C/C++ library called from NodeJS, the team usually needs to port to one of the two languages or write a wrapper around them. Maintaining a port of a library or the plumbing code is frequently error-prone, time-consuming, and does not add any value to the final product. The main objective of MetaCall is to provide a transparent interoperability in both ways, no matter what language you are using, so you feel like you are using a library written in the same language but in fact, it may be written in C, NodeJS or any other language. MetaCall currently provides a mechanism to introspect the types and function signatures, which allows us to provide this type info to the caller language. You can have type safety and at the same time avoid boilerplate in both directions. It addresses the main shortcomings of embedding independent languages separately. Having a common implementation with a plugin architecture allows you to implement newer languages without rewriting more code. With a single solution you get C#, Ruby, Python or any other language you prefer. We can improve the core continuously and add new languages. Finally, we are using the polyglot runtime in cloud computing so we take advantage of the interoperability capabilities and allow to build complex polyglot distributed systems with ease. It is possible to build monolithic and mono-repo projects that can be distributed and scaled separately through our Function as a Service built on top of MetaCall, allowing the developer to maximize the productivity without the need of DevOps plumbing or thinking about intercommunication protocols and architectural details.",https://github.com/metacall/gsoc-2025,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",https://github.com/metacall/gsoc-2024,https://summerofcode.withgoogle.com/programs/2024/organizations/metacall
AsyncAPI,Building the future of Event-Driven Architectures,"AsyncAPI is an Open-Source tool to easily build and maintain your event-driven architecture. All are powered by the AsyncAPI specification, the industry standard for defining asynchronous APIs.",https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2025/asyncapi-gsoc-ideas-page.md,"javascript, java, go, typescript, RAML","web, api, cloud, Architectures",https://github.com/asyncapi/community/blob/master/CONTRIBUTING.md,https://summerofcode.withgoogle.com/programs/2024/organizations/asyncapi
"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,"Biomedical Informatics is a multidisciplinary field that is motivated by our desire to improve diagnosis, clinical care, and human health, through novel computational approaches to use (and learn from) biomedical and clinical data. We use our expertise in computer science and informatics by developing various enabling tools, technologies, and algorithms to solve specific biomedical and clinical applications. And in doing so help advance our understanding of disease and treatment, and also develop useful software and applications. Members of the department work in a variety of areas that range from machine learning, healthcare middleware that leverages cloud computing, clinical information systems, clinically oriented image analysis, and biomedical knowledge modeling. The driving applications for the various ongoing projects include cancer research, organ transplant, HIV, medical imaging, radiation therapy, and clinical data analytics. All development work that is undertaken is free and open-source. We have had a diverse set of successful GSoC projects in the past. In previous years, GSoC contributors have worked on diverse projects such as: geospatial systems for exploring microscopy environments that leveraged Hadoop; GPU accelerated pipelines for computational analysis of digitized biopsies; interactive visualization platforms for viewing massive images (>1GB); systems for data agnostic sharing of biomedical research datasets; Apache Drill based data integration and de-duplication platform for SQL and NoSQL databases; CNN based high throughput analysis of digitized biopsies; A GUI for Tensorflow; integrated architectures for biomedical data integration and federation; and information visualization of heterogeneous medical data. Many of these projects have been published in reputable journals and presented at major conferences. Some of the projects proved to be so successful that they were adopted in major national/international biomedical research initiatives.",https://github.com/NISYSLAB/Emory-BMI-GSoC/?tab=readme-ov-file#list-of-ideas,"python, javascript, java, bash, Colab","cloud, data integration, workflows, data security, ML/AL",https://github.com/NISYSLAB/Emory-BMI-GSoC/blob/main/CONTRIBUTOR-GUIDANCE.md,https://summerofcode.withgoogle.com/programs/2024/organizations/department-of-biomedical-informatics-emory-university
Open Robotics,Open source software for robotics,"Supporting the development, distribution, and adoption of open source software for use in robotics research, education, and product development.",https://github.com/osrf/osrf_wiki/wiki/GSoC25,"ros, gazebo, ignition, Open-RMF","robotics, simulation, fleet management",https://github.com/osrf/osrf_wiki/wiki/GSoC25#application-template-for-students,https://summerofcode.withgoogle.com/programs/2024/organizations/open-robotics
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,"OpenVINO is an open-source toolkit for optimizing and deploying deep learning models from cloud to edge. It accelerates deep learning inference across various use cases, such as generative AI, video, audio, and language with models from popular frameworks like PyTorch, TensorFlow, ONNX, and more. Convert and optimize models, and deploy across a mix of Intel hardware and environments, on-premises and on-device, in the browser or in the cloud.",https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#project-ideas-for-2025,"python, c++, arm, x86","ai, deep learning, neural network, inference, gen ai",https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#application-template,https://summerofcode.withgoogle.com/programs/2024/organizations/openvino-toolkit
MuseScore,The World’s Most Popular Music Notation Software,"MuseScore's main purpose is the creation of high-quality engraved musical scores in a ""What-You-See-Is-What-You-Get"" environment. It supports unlimited staves, linked parts and part extraction, tablature, MIDI input and output, percussion notation, cross-staff beaming, automatic transposition, lyrics (multiple verses), fretboard diagrams, and in general everything commonly used in sheet music. Style options to change the appearance and layout are available and style sheets can be saved and applied to other scores. In January 2020, MuseScore introduced a unique engraving and notation style built by its full time designer, Martin Keary and engraver Simon Smith. MuseScore can play back scores through a sequencer and SoundFont sample library. Playback is currently being greatly expanded to include VST support. MIDI output to external devices and software synthesisers is also possible. The team organise themselves according to a general roadmap published by the product owner every six months, which sets out provisional goals for the internal team. This allows the extended developer community to comment on the roadmap and potentially offer to take ownership over aspects of it. This also allows other contributors to have visibility on aspects of the codebase that may change over the next 6-12 months. In combination with our community organiser, tasks are drawn up and published to provide a well organised collaboration focused on a specific upcoming release. All members provide bug tracking support and feedback.",https://github.com/musescore/MuseScore/wiki/Project-ideas-for-GSoC,"c++, qt, qml, cmake","music, midi, musicxml, sheet music, music notation",https://github.com/musescore/MuseScore/wiki/GSoC-with-MuseScore,https://summerofcode.withgoogle.com/programs/2024/organizations/musescore
The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,"Are you interested in contributing to a widely-used performance evaluation tool for computer networking research? ns-3 is a *discrete-event, packet-level network simulator* with an emphasis on networking research and education. Users of ns-3 can construct simulations of computer networks using models of traffic generators, protocols such as TCP/IP, and devices and channels such as Wi-Fi and LTE, and analyze or visualize the results. Simulation plays a vital role in the research and education process, because of the ability for simulations to obtain reproducible results (particularly for wireless protocol design), scale to large networks, and study systems that have not yet been implemented. A particular emphasis in ns-3 is a high degree of realism in the models (including frameworks for using real application and kernel code) and integration of the tool with virtual machine environments and testbeds. Very large scale simulations are possible; simulations of hundreds of millions of nodes have been published. ns-3 has been in development since 2005 and has been making regular releases since June 2008. The simulator is written in C++, with bindings for Python scripting, and uses the CMake build system. We use a GPLv2 licensing model and heavily use mailing lists and Zulip chat, but typically not other social media.",https://www.nsnam.org/wiki/GSOC2025Projects,"python, django, c++","computer networking, network simulation",https://www.nsnam.org/wiki/GSOC2025ContributorGuide,https://summerofcode.withgoogle.com/programs/2024/organizations/the-ns-3-network-simulator-project
Ceph,The Future of Storage,"An open-source storage platform that implements storage on a single distributed computer cluster and provides a 3-in-1 interface for object-, block- and file-level storage.",https://ceph.io/en/developers/google-summer-of-code/,"python, javascript, c++","distributed systems, Software-Defined-Storage",https://docs.ceph.com/en/latest/dev/developer_guide/,https://summerofcode.withgoogle.com/programs/2024/organizations/ceph
Python Software Foundation,A programming language used for science & more,"Python is a programming language that lets you work more quickly and integrate your systems more effectively. The Python Software Foundation serves as an umbrella organization to a variety of Python-related projects, as well as sponsoring projects related to the development of the Python language. You can view a full list of participating sub-orgs here: https://python-gsoc.org/ideas.html Sub-orgs: - Borg Collective - backup tools - CVE Binary Tool - scanning for known security vulnerabilities - DIPY - 3d/4d+ imaging - Fury - scientific visualization tools - LPython - ahead of time compiler for python - MNE-Python - tools for human neurophysiological data - Mission Support System - atmospheric science tools for flight planning - PyData/Sparse - n-dimensional sparse arrays for pyData - PyElastica - simulation and modeling for slender structures",https://python-gsoc.org/ideas.html,"python, javascript","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/index.html#gettingstarted,https://summerofcode.withgoogle.com/programs/2024/organizations/python-software-foundation
Mautic,Free your Marketing with Open Source!,"Mautic began with a single focus. Equality. The Mautic community believes in giving every person the power to understand, manage, and grow their business or organization. Mautic is focused on helping this belief become a reality by getting powerful marketing automation software into the hands of everyone.",https://community.mautic.org/assemblies/gsoc/f/93/,"mysql, php, symfony","ai, DXP, Marketing, Marketing Automation, Digital Marketing",https://contribute.mautic.org/contributing-to-mautic/google-summer-of-code,https://summerofcode.withgoogle.com/programs/2024/organizations/mautic
