project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
CHIPS Alliance,"Open source IP, tools & standards for ASIC/FPGA","CHIPS Alliance develops high-quality, open source hardware components and tooling for silicon devices and FPGAs. By creating an open and collaborative environment, shared infrastructure, processes, legal support and governance, CHIPS Alliance shares resources to lower the cost of development and increase confidence in high-quality open source building blocks it helps manage. Within CHIPS Alliance's workgroups covering areas such as Analog, FPGA, ASIC design tools, Chisel, Interconnects and Cores, companies and individuals can work together to develop open source IP, tools and standards. CHIPS Alliance is open to all organizations who are interested in collaborating on open source hardware or software tools to accelerate the creation of more efficient and innovative chip designs.",https://github.com/chipsalliance/ideas/blob/main/gsoc-2024-ideas.md,"fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",https://github.com/chipsalliance/ideas/blob/main/summer-of-code.md,https://summerofcode.withgoogle.com/programs/2022/organizations/chips-alliance
OpenMRS,"Write Code, Save Lives.","OpenMRS provides the foundational, electronic medical record technology for more than 6,500 health facilities in over 80 countries, touching and helping millions of patients throughout the world. The OpenMRS Community’s mission is to improve healthcare delivery in resource-constrained environments. We coordinate a global community that creates and sustains a robust, scalable, user-driven and open-source medical record platform and reference frontend application. We maintain a platform that countries and implementers use to create a customized EMR system in response to actual needs on the ground.",https://openmrs.atlassian.net/wiki/spaces/RES/pages/322404353/Summer+of+Code+2025,"mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://wiki.openmrs.org/display/RES/GSoC+-+Proposal+Guidelines,https://summerofcode.withgoogle.com/programs/2022/organizations/openmrs
omegaUp,Open CS Education as a catalyst for social change,"omegaUp is a non-profit organization (501c3) aimed to increase the number of talented Software Engineers in Latin America. Our open source platform omegaUp.com lets students immerse in a learning environment that fosters self paced learning of computer science skills with a democratic access to state-of-the-art learning tools. Teachers and tutors can create new coding challenges or use existing ones to start online programming competitions with local, national or even international reach, with automated grading of student's coding solutions. The omegaUp.com platform also enables teachers to leverage Competitive Programming tools and concepts inside the classroom to improve their educational experience.",https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2025,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2025,https://summerofcode.withgoogle.com/programs/2022/organizations/omegaup
The FreeBSD Project,An OS for servers to embedded devices,"FreeBSD is an operating system renowned for its advanced networking capabilities, robust security features, and exceptional performance. It is used across a wide spectrum of computing environments, ranging from the most heavily trafficked websites to desktop computers and embedded devices. Our source code is the foundation for well-known products such as the Sony PlayStation, Junos (the operating system powering Juniper routers), and elements of Apple's macOS. Additionally, FreeBSD runs on servers at Netflix that stream terabits of video content every second. The FreeBSD Project has a rich history spanning over 30 years, originating in 1993 but rooted in work from the Berkeley Computer Systems Research Group dating back to 1978. Over the years, our codebase has undergone continuous development and played an important role in developing essential software components used by numerous open-source projects. Examples include bsnmp, jemalloc, libarchive, and OpenPAM. FreeBSD maintains an active mentoring program to welcome new developers into our vibrant community. With approximately 300 developers with write access to our repositories and numerous other contributors, our community thrives on collaboration and shared expertise. Many of our past Google Summer of Code contributors have transitioned into becoming key members of the FreeBSD development team. Communication within the FreeBSD community occurs through various channels, including mailing lists, forums, blogs, IRC channels, and user groups, all listed on our main website.",https://wiki.freebsd.org/SummerOfCodeIdeas,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/projects/summerofcode/,https://summerofcode.withgoogle.com/programs/2022/organizations/the-freebsd-project
MariaDB,The fastest growing Open Source Database,"MariaDB Foundation is the non-profit organization behind MariaDB Server, the fastest growing open source databases. MariaDB Foundation's mission is to ensure the continuity of the MariaDB Server code as well as foster and facilitated collaboration within the MariaDB ecosystem. As part of GSoC, MariaDB Foundation seeks to bring more developers into the MariaDB Server (and related projects) code base.",https://mariadb.com/kb/en/google-summer-of-code-2025/,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",https://mariadb.org/gsoc2022-instructions/,https://summerofcode.withgoogle.com/programs/2022/organizations/mariadb
Open Food Facts,Better food choices for your health & the planet,"Open Food Facts is the ""Wikipedia of food"". Our community collects information about all the food products in the world, using mobile phones to help people make better choices for themselves and the planet, and to transform the whole food system along the way. We do so using mobile crowdsourcing, community involvement and machine learning,",https://wiki.openfoodfacts.org/GSOC/2025_ideas_list,"python, javascript, machine learning, perl, flutter","open data, health, environment, mobile, food",https://world.openfoodfacts.org/google-summer-of-code,https://summerofcode.withgoogle.com/programs/2022/organizations/open-food-facts
Zulip,Organized chat for distributed teams,"Zulip is the only modern team chat app that is ideal for both live and asynchronous conversations. Zulip has a web app, a cross-platform mobile app for iOS and Android, cross-platform desktop and terminal apps, and over 100 native integrations. The entire Zulip codebase is 100% open source. Zulip has been gaining in popularity since it was released as open source software in late 2015, with code contributions from over 1000 people from all around the world. Thousands of people use Zulip every day, and your work on Zulip will have meaningful impact on their experience. As an organization, we value engaged, responsive mentorship and making sure our product quality is extremely high. You can expect to receive disciplined code reviews by highly experienced engineers. Since Zulip is a team chat product, your GSoC experience with the Zulip project will be highly interactive. As part of our commitment to mentorship, Zulip has over 160,000 words of documentation for developers, much of it designed to explain not just how Zulip works, but why Zulip works the way that it does. To learn more about the experience of doing GSoC with Zulip, check out our blog post: https://blog.zulip.com/2024/10/09/google-summer-of-code-2024/.",https://zulip.readthedocs.io/en/latest/outreach/gsoc.html,"python, django, flutter, css, typescript","great developer tooling, visual design, teaching quality codebase, team chat, integrations",https://zulip.readthedocs.io/en/latest/outreach/apply.html,https://summerofcode.withgoogle.com/programs/2022/organizations/zulip
Ste||ar group,Shaping a Scalable Future,"The STE||AR Group is an international team of researchers who understand that a new approach to parallel computation is needed. Our work is crafted around the idea that we need to invent new ways to more efficiently use the resources that we have and use the knowledge that we gain to help guide the creation of the machines of tomorrow. This organization aims to support, coordinate, and distribute research done in this area by creating a marketplace of ideas where concepts are debated and solutions are transparently developed.",https://github.com/STEllAR-GROUP/hpx/wiki/Google-Summer-of-Code-%28GSoC%29-2025#2025-hpx-project-ideas,"c++, hpc","library, optimization, parallel algorithms, hpx, application",https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-Submission-Template,https://summerofcode.withgoogle.com/programs/2022/organizations/stear-group
INCF,An open & FAIR neuroscience standards organization,"The International Neuroinformatics Coordinating Facility (INCF; www.incf.org) is an international organization launched in 2005, following a proposal from the Global Science Forum of the OECD. INCF was established to facilitate and promote the sharing of data and computing resources in the international neuroscience community. A larger objective of INCF is to help develop scalable, portable, and extensible applications that can be used by neuroscience laboratories worldwide. The mission of INCF is to make neuroscience FAIR (Findable, Accessible, Interoperable and Reusable) by sharing and integrating neuroscience data and knowledge worldwide. We foster scientific community collaboration to develop standards for data sharing, analysis modeling and simulation in order to catalyze insights into brain function in health and disease. INCF activities are open to all who can contribute to neuroinformatics at the international level. We have a global community of neuroscience researchers working on new and improved tools for all of neuroscience – enabling other researchers to make more and faster discoveries, and improving our understanding of the brain.",https://docs.google.com/document/d/1T7U4nYFbVbZuIUw_2bB89YASj-ra26hRNtG2a20Gjlw/edit?tab=t.0,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",https://docs.google.com/document/d/16H8MlUl_0EbhL1IC4ddRZKYeMAd9JtAHCuxY5piZOGc/,https://summerofcode.withgoogle.com/programs/2022/organizations/incf
ReactOS Foundation,Open your windows to freedom!,"Imagine running your favorite Windows applications and drivers in an open-source environment you can trust. That's ReactOS. A free, open source, Windows compatible operating system. It's written from scratch, not based on Linux, with 9,000,000+ lines of code and growing. More than 100 developers contributed along the years It aims to be lightweight with only 500MB HDD and 96MB RAM as the current minimum requirement. Developers enjoy a fast, CMake based build system that supports GCC, Clang and MSVC toolchains (including Visual Studio solutions support).",https://reactos.org/wiki/Google_Summer_of_Code_2022_Ideas,"c, c++, win32, nt","operating systems, kernel, drivers, windows, system programming",https://reactos.org/wiki/Google_Summer_of_Code_2022,https://summerofcode.withgoogle.com/programs/2022/organizations/reactos-foundation
OpenWISP,The Hackable Network Management System,"OpenWISP is an open source network management system which runs on low cost hardware and can be used to manage networks: from public wifi, university wifi, to mesh networks and IoT.",https://openwisp.io/docs/dev/developer/gsoc-ideas-2025.html,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.io/docs/developer/contributing.html,https://summerofcode.withgoogle.com/programs/2022/organizations/openwisp
Intel Video and Audio for Linux,We enable Linux Audio and Video for Intel,"We enable video/audio stack for Intel on Linux. We deliver our code to FFmpeg, FFmpeg DNN, Gstreamer, and libXCam",https://www.intel.com/content/www/us/en/developer/articles/event-contest/google-summer-of-code-ideas.html,"c/c++, opengl, Codec, Media, Imaging","media, imaging, Codec",https://github.com/intel-media-ci/cartwheel-ffmpeg,https://summerofcode.withgoogle.com/programs/2022/organizations/intel-video-and-audio-for-linux
Responsible AI and Human Centred Technology,Human-centered and responsible AI for all,"Responsible AI & Human-Centered Technology (RAI-HCT) is Google Research’s center-of-excellence focused on ensuring that AI/ML and its development positively impacts our users and the world, particularly marginalized communities. RAI-HCT has both researchers, focused on developing breakthrough innovations around responsible AI topics (e.g. fairness, robustness, safety), as well as product and engineering teams that develop infrastructure and solutions for Google products and open-source libraries. Our current offerings include a mix of tools from PAIR(http://ai.google/pair) and Tensorflow Responsible AI toolkit(https://www.tensorflow.org/responsible_ai/guide)",https://docs.google.com/document/d/1_PinY76lVHWAfahBmrvK5MKugXxZm6LZ03I-vfDWri0/edit#,"python, javascript, Technical writing","machine learning, ai, Fairness, Robustness, Safety, Interpretibility",https://docs.google.com/document/d/1_PinY76lVHWAfahBmrvK5MKugXxZm6LZ03I-vfDWri0/edit#,https://summerofcode.withgoogle.com/programs/2022/organizations/responsible-ai-and-human-centred-technology
The NetBSD Foundation,Of course it runs NetBSD,"NetBSD is a free, fast, secure, and highly portable Unix-like Open Source operating system. It is available for a wide range of platforms, from large-scale servers and powerful desktop systems to handheld and embedded devices. Its clean design and advanced features make it excellent for use in both production and research environments, and the source code is freely available under a business-friendly license. NetBSD is developed and supported by a large and vivid international community. Many applications are readily available through pkgsrc, the NetBSD Packages Collection.",https://wiki.netbsd.org/projects/gsoc/,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",https://wiki.netbsd.org/projects/gsoc/,https://summerofcode.withgoogle.com/programs/2022/organizations/the-netbsd-foundation
OWASP Foundation,No more insecure software.,"As the world’s largest non-profit organization concerned with software security, OWASP: * Supports the building of impactful projects; * Develops & nurtures communities through events and chapter meetings worldwide; * Provides educational publications & resources in order to enable developers to write better software, and security professionals to make the world's software more secure.",https://owasp.org/www-community/initiatives/gsoc/gsoc2025ideas,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps",,https://summerofcode.withgoogle.com/programs/2022/organizations/owasp-foundation
CCExtractor Development,"TV, Rust, Flutter, Linux, VR and C. In any order.","CCExtractor Development is the creator of the de-facto captions extraction tool - CCExtractor. It is the one tool that is free, portable, open source and community managed that can take a recording from a TV show and generate an external subtitle file for it. If you regularly watch content with subtitles you download from fan sites - you should know that the source file is most likely generated by CCExtractor. If you are a student in a university that uses subtitles for natural language study, you should know that most likely we are involved somehow. While we already support subtitles from North America, Europe, Australia and more, our world map is not yet complete. We are actively looking for students that want to help us fill the gaps. We also want to automate many of the processes that are currently done manually, such as achieving perfect sync, our media file management. In addition to continuously evolve our core tool, we have a growing number of new projects: support, AI, rclone, cloud, flutter, peer-to-peer and a few more that are starting to take shape. The best part is - students have flexibility of choosing projects from a wide range of topics & technologies and even propose their own. We provide exceptional resources for students. Read more about the perks on our website. We’re very excited to take part in GSoC for the 9th time. Most of our past students are still involved and are active in the community, which simply goes on to show how friendly and approachable is the environment. If you want to be a part of such community and help achieve our goals, come join our Slack group or mailing list!",https://ccextractor.org/docs/ideas_page_for_summer_of_code_2025/,"c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://ccextractor.org/docs/ideas_page_for_summer_of_code_2025/#your-proposal,https://summerofcode.withgoogle.com/programs/2022/organizations/ccextractor-development
openSUSE Project,"Makers' choice for sysadmins, developers & users","The openSUSE Project is a worldwide effort that promotes the use of Linux, tools around it, and open source. The openSUSE community is made up of multiple contributing communities that collaborate as part of a global open-source network. The openSUSE community develops, builds and maintains many of the packages, tools and infrastructure for the distribution. The community works together in an open, transparent and friendly manner as part of the global Free and Open Source Software community. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools, such as OBS, OpenQA, Kiwi, YaST, OSEM and Uyuni. Distributions include a rolling release (Tumbleweed), a stable annual release (Leap) and operating systems for edge, embedded, cloud and containers through MicroOS and ALP. The project is controlled by its community and relies on the contributions of individuals, working as testers, writers, translators, usability experts, artists and ambassadors or developers. The project embraces a wide variety of technology, people with different levels of expertise, speaking different languages and having different cultural backgrounds.",https://github.com/openSUSE/mentoring/issues,"python, c/c++, go, ruby, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, systems management",https://github.com/openSUSE/mentoring/wiki/Contributor-Guidance-for-Google-Summer-of-Code,https://summerofcode.withgoogle.com/programs/2022/organizations/opensuse-project
Casbin,Authorization library that supports RBAC and ABAC,"Casbin is a powerful and efficient open-source access control library. It provides support for enforcing authorization based on various access control models like ACL, RBAC, ABAC for Golang, Java, Node.js, PHP, Python, .NET (C#), Delphi and Rust. What Casbin does: - Enforce the policy in the classic {subject, object, action} form or a customized form as you defined, both allow and deny authorizations are supported. - Handle the storage of the access control model and its policy. - Manage the role-user mappings and role-role mappings (aka role hierarchy in RBAC). Support built-in superuser like root or administrator. - A superuser can do anything without explict permissions. - Multiple built-in operators to support the rule matching. For example, keyMatch can map a resource key /foo/bar to the pattern /foo*. What Casbin does NOT do: - Authentication (aka verify username and password when a user logs in) Manage the list of users or roles. I believe it's more convenient for the project itself to manage these entities. - Users usually have their passwords, and Casbin is not designed as a password container. However, Casbin stores the user-role mapping for the RBAC scenario. For more details, see: https://casbin.org/",https://github.com/casbin/SummerOfCode2023,"javascript, java, go, OIDC, OAuth","security, cloud, authorization, IAM, Authentication",https://casbin.org/docs/contributing,https://summerofcode.withgoogle.com/programs/2022/organizations/casbin
XWiki,The Advanced Open Source Enterprise Wiki,"XWiki is an open source software development platform based on the wiki principles, under the LGPL license. In addition to being a full-featured wiki, it is also a second generation wiki allowing effortless development of collaborative web applications. On top of this platform a plethora of applications are developed, targeted mainly on aiding enterprise-level needs. XWiki has a vibrant community of developers and users, consisting of individual users as well as organizations around the world that are using XWiki for their own Communities or Intranets. Within XWiki, the development involves several levels: server-side platform programming in Java with Servlet technologies, server-side application development in Velocity, Groovy, and client-side development in JavaScript, CSS and HTML. We propose projects that cover server-side Servlet programming and client-side rich application development, together with usability and performance improvements.",https://dev.xwiki.org/xwiki/bin/view/GoogleSummerOfCode,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data",https://dev.xwiki.org/xwiki/bin/view/GoogleSummerOfCode/Guidelines,https://summerofcode.withgoogle.com/programs/2022/organizations/xwiki
strace,Linux syscall tracer,"strace is a diagnostic, debugging and instructional userspace utility with a traditional command-line interface for Linux. It is used to monitor and tamper with interactions between processes and the Linux kernel, which include system calls, signal deliveries, and changes of process state. The operation of strace is made possible by the kernel feature known as ptrace. strace is one of the longest running free software projects and started even before Linux started. strace is an important tool for debugging and tracing deployed on most Linux distributions with a small community of active contributors.",https://strace.io/wiki/GoogleSummerOfCode2023,"c, shell, make, autotools, gawk","debugging, tracing, diagnostic",https://strace.io/wiki/GoogleSummerOfCode2023,https://summerofcode.withgoogle.com/programs/2022/organizations/strace
rocket.chat,Open source communications platform for the AI age,"Open source team chat and communications platform Rocket.Chat is one of the largest active open source (permissive MIT license) nodeJS communications platform communities on GitHub, connecting 2,500+ global community contributors (across projects) from 30+ countries, with 41,700+ GitHub stars, 11,100 forks, 1,005+ total releases and 15,100+ issues since inception in 2015. Rocket.Chat is a team chat platform written in full-stack Typescript. It offers a fully featured team chat experience on modern browsers, comparable to Slack and Microsoft Teams. Mobile and desktop clients run on iOS, Android, Mac, Windows, and Linux. The server can scale from a small family messaging server for 5 users on a Raspberry Pi 5, to clustered micro-services configuration that can support hundred thousands of users. On-premises Rocket.Chat can ensure 100% complete security and privacy of your valuable communications/data. Rocket.Chat is now installed on over 500k servers and counts over 12m users worldwide. Federated communication support extends our reach exponentially. Users can set up Rocket.Chat on cloud or by hosting their own servers on-premises. Thanks to its extension support via Rocket.Chat Apps, and rich APIs, startups and innovators have customized Rocket.Chat into new products and services. Omnichannel extends reach to wherever user may be including WhatsApp, Instagram, Facebook Messenger and more. Increasingly, innovators in Generative AI and LLM app developers are launching their concepts on the Rocket.Chat platform to keep all data flows and communications 100% private and secure. Rocket.Chat has won multiple prizes such as a 2016 Bossie Award for Best Open Source Application and first prize in the 2017 edition of All Things Open’s Startup Competition. Rocket.Chat's community interacts 24 x 7 at the community Rocket.Chat server https://open.rocket.chat since 2015.",https://github.com/RocketChat/google-summer-of-code/blob/main/google-summer-of-code-2025.md#-project-ideas,"javascript, typescript, node, LLM, generative ai","communications, messaging, group chat, Team Collaboration, Chat platform",https://github.com/RocketChat/google-summer-of-code/blob/main/google-summer-of-code-2025.md#how-to-apply,https://summerofcode.withgoogle.com/programs/2022/organizations/rocketchat
FOSSology,Open Source License Compliance by OSS,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://fossology.github.io/gsoc/docs/2025/GSoC-projects,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",,https://summerofcode.withgoogle.com/programs/2022/organizations/fossology
PEcAn Project,Develop and promote tools for ecosystem modeling,"Climate change science has witnessed an explosion in the amount and types of data that can be brought to bear on the potential responses of the terrestrial carbon cycle and biodiversity to global change. Many of the most pressing questions about global change are not necessarily limited by the need to collect new data as much as by our ability to synthesize existing data. This project specifically seeks to improve this ability. Because no one measurement provides a complete picture, multiple data sources must be integrated in a sensible manner. Process-based models represent an ideal framework for integrating these data streams because they represent multiple processes at different spatial and temporal scales in ways that capture our current understanding of the causal connections across scales and among data types. Three components are required to bridge this gap between the available data and the required level of understanding: 1) a state-of-the-art ecosystem model, 2) a workflow management system to handle the numerous streams of data, and 3) a data assimilation statistical framework in order to synthesize the data with the model.",https://pecanproject.github.io/gsoc_ideas,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,",https://pecanproject.github.io/gsoc.html,https://summerofcode.withgoogle.com/programs/2022/organizations/pecan-project
GRAME,Domain specific language for audio,"Faust (Functional Audio Stream) is a functional programming language for sound synthesis and audio processing with a strong focus on the design of synthesizers, musical instruments, audio effects, etc. Faust targets high-performance signal processing applications and audio plug-ins for a variety of platforms and standards.",https://github.com/grame-cncm/faustideas,"c, javascript, c++, rust, typescript","audio, compiler, digital signal processing, function programming language",https://github.com/grame-cncm/faustideas,https://summerofcode.withgoogle.com/programs/2022/organizations/grame
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,"OpenVINO is an open-source toolkit for optimizing and deploying deep learning models from cloud to edge. It accelerates deep learning inference across various use cases, such as generative AI, video, audio, and language with models from popular frameworks like PyTorch, TensorFlow, ONNX, and more. Convert and optimize models, and deploy across a mix of Intel hardware and environments, on-premises and on-device, in the browser or in the cloud.",https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#project-ideas-for-2025,"python, c++, arm, x86","ai, deep learning, neural network, inference, gen ai",https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#application-template,https://summerofcode.withgoogle.com/programs/2022/organizations/openvino-toolkit
